ID;Label
D2-1;Human
D2-2;Human
D2-3;Human
D2-4;Human
D2-5;Human
D2-6;AI
D2-7;Human
D2-8;Human
D2-9;Human
D2-10;Human
D2-11;Human
D2-12;Human
D2-13;AI
D2-14;Human
D2-15;Human
D2-16;AI
D2-17;Human
D2-18;Human
D2-19;AI
D2-20;AI
D2-21;Human
D2-22;Human
D2-23;Human
D2-24;Human
D2-25;Human
D2-26;AI
D2-27;Human
D2-28;Human
D2-29;Human
D2-30;Human
D2-31;Human
D2-32;Human
D2-33;Human
D2-34;AI
D2-35;Human
D2-36;Human
D2-37;Human
D2-38;Human
D2-39;Human
D2-40;Human
D2-41;Human
D2-42;Human
D2-43;Human
D2-44;AI
D2-45;Human
D2-46;AI
D2-47;Human
D2-48;Human
D2-49;Human
D2-50;Human
D2-51;Human
D2-52;Human
D2-53;AI
D2-54;AI
D2-55;Human
D2-56;Human
D2-57;AI
D2-58;Human
D2-59;Human
D2-60;Human
D2-61;Human
D2-62;Human
D2-63;Human
D2-64;Human
D2-65;Human
D2-66;Human
D2-67;AI
D2-68;Human
D2-69;AI
D2-70;Human
D2-71;Human
D2-72;Human
D2-73;Human
D2-74;Human
D2-75;AI
D2-76;Human
D2-77;Human
D2-78;Human
D2-79;Human
D2-80;Human
D2-81;Human
D2-82;AI
D2-83;Human
D2-84;Human
D2-85;AI
D2-86;Human
D2-87;Human
D2-88;Human
D2-89;AI
D2-90;AI
D2-91;AI
D2-92;Human
D2-93;Human
D2-94;Human
D2-95;Human
D2-96;AI
D2-97;Human
D2-98;Human
D2-99;Human
D2-100;Human
